Player,Age,Pos,GP,GS,Weight,Height,OYA,AYD
Israel Abanika,22,RB,0,0,216,5-11,376.3,0
Brandon Aiyuk,26,WR,7,7,200,6-0,376.3,374
Brandon Allen,32,QB,3,1,209,6-2,376.3,199
Evan Anderson,22,DL,12,1,326,6-3,376.3,0
Tre Avery,27,CB,0,0,185,5-11,376.3,0
Aaron Banks,27,OL,13,13,325,6-5,376.3,0
Alex Barrett,30,DL,3,0,250,6-2,376.3,0
Ben Bartch,26,OL,3,2,315,6-6,376.3,0
Robert Beal,25,DL,14,0,250,6-4,376.3,0
Tatum Bethune,23,LB,11,1,230,6-1,376.3,0
Nick Bosa,27,DL,14,14,266,6-4,376.3,0
Jake Brendel,32,OL,17,17,299,6-4,376.3,0
Ji'Ayir Brown,24,S,17,13,202,5-11,376.3,0
Spencer Burford,24,OL,15,0,300,6-4,376.3,0
De'Vondre Campbell,31,LB,13,12,232,6-4,376.3,0
Maliek Collins,29,DL,17,17,310,6-2,376.3,0
Chris Conley,32,WR,15,2,205,6-3,376.3,76
Jacob Cowing,23,WR,15,0,171,5-9,376.3,245
Kalia Davis,26,DL,13,0,310,6-2,376.3,0
Khalil Davis,28,DT,3,0,315,6-2,376.3,0
Joshua Dobbs,29,QB,2,1,220,6-3,376.3,361
Jordan Elliott,27,DL,15,13,303,6-4,376.3,0
Jon Feliciano,32,OL,0,0,325,6-4,376.3,0
Leonard Floyd,32,DL,17,17,240,6-3,376.3,0
Tashaun Gipson,34,S,9,0,212,5-11,376.3,0
Kevin Givens,27,DL,8,1,285,6-1,376.3,0
Jalen Graham,23,LB,8,0,220,6-3,376.3,0
Renardo Green,24,CB,17,7,186,6-0,376.3,0
Dre Greenlaw,27,LB,2,2,230,6-0,376.3,0
Yetur Gross-Matos,26,DL,11,0,265,6-5,376.3,0
Isaac Guerendo,24,RB,16,3,221,6-0,376.3,420
Javon Hargrave,31,DL,3,3,305,6-2,376.3,0
Charlie Heck,28,OL,2,2,315,6-8,376.3,0
Matt Hennessy,27,OL,2,0,295,6-4,376.3,0
Talanoa Hufanga,25,S,7,7,200,6-0,376.3,0
Drake Jackson,23,DL,0,0,273,6-4,376.3,0
Jauan Jennings,27,WR,15,10,212,6-3,376.3,975
Kyle Juszczyk,33,FB,17,15,235,6-2,376.3,0
George Kittle,31,TE,15,15,250,6-4,376.3,1106
Deommodore Lenoir,25,DB,15,15,200,5-10,376.3,0
Darrell Luter,24,CB,3,0,190,6-0,376.3,0
Jordan Mason,25,RB,12,6,223,5-11,376.3,789
Christian McCaffrey,28,RB,4,4,210,5-11,376.3,202
Nick McCloud,26,CB,8,0,193,6-1,376.3,0
Colton McKivitz,28,OL,17,17,301,6-6,376.3,0
Elijah Mitchell,26,RB,0,0,200,5-10,376.3,1523
Jake Moody,25,K,14,0,210,6-1,376.3,0
Jaylon Moore,26,OL,15,5,311,6-4,376.3,0
Malik Mustapha,22,S,16,12,206,5-10,376.3,0
Pat O'Donnell,33,P,8,0,223,6-4,376.3,0
George Odum,31,S,12,2,202,6-1,376.3,0
Sam Okuayinonu,26,DL,16,3,269,6-1,376.3,0
Ricky Pearsall,24,WR,11,4,189,6-3,376.3,400
Taybor Pepper,30,LS,17,0,245,6-4,376.3,0
Austen Pleasants,27,OL,3,0,330,6-7,376.3,0
Dominick Puni,24,OL,17,17,313,6-5,376.3,0
Brock Purdy,25,QB,15,15,220,6-1,376.3,3864
Curtis Robinson,26,LB,3,0,235,6-3,376.3,0
Deebo Samuel,28,WR,15,15,215,6-0,376.3,670
Eric Saubert,30,TE,17,3,248,6-5,376.3,97
Patrick Taylor,26,RB,13,1,217,6-2,376.3,183
Jake Tonges,25,TE,16,0,240,6-4,376.3,0
Charvarius Ward,28,CB,12,12,196,6-1,376.3,0
Fred Warner,28,LB,17,17,230,6-3,376.3,0
DaShaun White,24,LB,1,0,225,6-0,376.3,0
Trent Williams,36,OT,10,10,320,6-5,376.3,0
Brayden Willis,25,TE,10,0,240,6-4,376.3,0
Dee Winters,24,LB,15,10,227,5-11,376.3,0
Mitch Wishnowsky,32,P,9,0,220,6-2,376.3,0
Rock Ya-Sin,28,CB,13,0,195,5-11,376.3,0
Isaac Yiadom,28,CB,17,5,232,6-1,376.3,0
Nick Zakelj,25,OL,17,2,316,6-6,376.3,0
Isaac Alarcon (FRES),26,OL,0,0,320,6-7,376.3,0
Russell Gage (FRES),28,WR,0,0,184,6-0,376.3,0
Jonathan Garvin (FRES),25,DL,0,0,257,6-4,376.3,0
Sebastian Gutierrez (FRES),26,T,1,0,308,6-6,376.3,0
Isaiah Hodgins (FRES),26,WR,0,0,200,6-3,376.3,0
Tarron Jackson (FRES),26,DL,0,0,254,6-2,376.3,0
Quindell Johnson (FRES),25,S,0,0,208,6-2,376.3,0
Zack Johnson (FRES),31,OL,0,0,301,6-6,376.3,0
Chase Lucas (FRES),27,CB,0,0,184,5-11,376.3,0
Jaylen Mahoney (FRES),24,S,3,0,200,5-11,376.3,0
Jalen McKenzie (FRES),25,T,0,0,315,6-5,376.3,0
Tanner Mordecai (FRES),25,QB,0,0,218,6-2,376.3,0
Drake Nugent (FRES),23,OL,0,0,298,6-1,376.3,0
Terique Owens (FRES),25,WR,0,0,193,6-3,376.3,0
Mason Pline (FRES),24,TE,0,0,254,6-6,376.3,0
Trent Taylor (FRES),30,WR,2,0,178,5-8,376.3,11
Josh Allen,28,QB,17,17,237,6-5,359.1,3731
Alec Anderson,25,T,17,4,305,6-5,359.1,0
Joe Andreessen,24,LB,13,1,232,6-1,359.1,0
Tyler Bass,27,K,17,0,183,5-10,359.1,0
Christian Benford,24,CB,15,15,205,6-1,359.1,0
Terrel Bernard,25,LB,13,13,224,6-1,359.1,0
Cole Bishop,22,S,16,4,207,6-2,359.1,0
Spencer Brown,26,T,15,15,311,6-6,359.1,0
Shane Buechele,26,QB,0,0,210,6-0,359.1,0
DeWayne Carter,24,DT,11,3,305,6-3,359.1,0
Travis Clayton,23,OT,0,0,301,6-7,359.1,0
Brandon Codrington,24,DB,17,0,185,5-9,359.1,0
Keon Coleman,21,WR,13,12,215,6-4,359.1,556
James Cook,25,RB,16,16,190,5-11,359.1,1009
Amari Cooper,30,WR,8,4,211,6-1,359.1,547
Ray Davis,25,RB,17,0,220,5-8,359.1,442
Dion Dawkins,30,T,16,16,320,6-5,359.1,0
Rasul Douglas,29,CB,15,15,209,6-2,359.1,0
David Edwards,27,G,16,16,308,6-6,359.1,0
Kaiir Elam,23,CB,13,4,191,6-1,359.1,0
A.J. Epenesa,26,DE,17,13,260,6-6,359.1,0
Reid Ferguson,30,LS,17,0,235,6-2,359.1,0
Reggie Gilliam,27,FB,15,0,244,6-0,359.1,0
Tylan Grable,25,OT,4,1,309,6-5,359.1,0
Damar Hamlin,26,S,14,14,200,6-0,359.1,0
Mack Hollins,31,WR,17,13,221,6-4,359.1,378
Ja'Marcus Ingram,27,CB,17,1,190,6-2,359.1,0
Quinton Jefferson,31,DT,7,0,290,6-4,359.1,0
Austin Johnson,30,DT,15,1,314,6-4,359.1,0
Taron Johnson,28,CB,12,12,192,5-11,359.1,0
Ty Johnson,27,RB,17,1,210,5-10,359.1,213
DaQuan Jones,33,DT,16,16,320,6-4,359.1,0
Dalton Kincaid,25,TE,13,9,240,6-4,359.1,448
Dawson Knox,28,TE,16,13,254,6-4,359.1,311
Cameron Lewis,27,DB,17,6,183,5-9,359.1,0
Sam Martin,34,P,17,0,211,6-1,359.1,0
Connor McGovern,27,G,16,16,318,6-5,359.1,0
Matt Milano,30,LB,4,4,223,6-0,359.1,0
Von Miller,35,LB,13,0,250,6-3,359.1,0
Quintin Morris,25,TE,16,3,252,6-2,359.1,36
Ed Oliver,27,DT,14,14,287,6-1,359.1,0
Jordan Phillips,32,DT,7,0,330,6-6,359.1,0
Taylor Rapp,27,S,14,14,208,6-0,359.1,0
Gregory Rousseau,24,DE,16,16,266,6-6,359.1,0
Curtis Samuel,28,WR,14,2,195,5-11,359.1,253
Khalil Shakir,24,WR,15,9,190,6-0,359.1,821
Dawuane Smoot,29,DE,11,4,264,6-3,359.1,0
Javon Solomon,23,DE,14,0,247,6-1,359.1,0
Baylon Spector,26,LB,11,4,233,6-0,359.1,0
O'Cyrus Torrence,24,G,17,16,347,6-5,359.1,0
Mitchell Trubisky,30,QB,9,0,222,6-3,359.1,179
Edefuan Ulofoshio,24,LB,4,1,239,6-1,359.1,0
Ryan Van Demark,26,T,14,2,307,6-6,359.1,0
Sedrick Van Pran-Granger,23,OL,16,1,310,6-4,359.1,0
Mike White,29,QB,1,0,216,6-5,359.1,28
Dorian Williams,23,LB,17,11,230,6-2,359.1,0
Jake Camarda (FRES),25,P,0,0,193,6-1,359.1,0
Te'Cory Couch (FRES),25,DB,0,0,175,5-10,359.1,0
Zach Davidson (FRES),26,TE,2,0,251,6-7,359.1,0
Branson Deen (FRES),24,DT,1,0,280,6-2,359.1,0
Mike Edwards (FRES),26,OL,0,0,363,6-5,359.1,0
Frank Gore (FRES),22,RB,0,0,195,5-8,359.1,0
Richard Gouraige (FRES),26,OT,1,0,306,6-5,359.1,0
KJ Hamler (FRES),25,WR,0,0,178,5-9,359.1,0
Daequan Hardy (FRES),23,CB,0,0,178,5-9,359.1,0
Zion Logue (FRES),23,DT,2,0,314,6-6,359.1,0
Armani Rogers (FRES),27,TE,0,0,225,6-5,359.1,64
Tyrell Shavers (FRES),25,WR,3,0,211,6-4,359.1,69
Jalen Virgil (FRES),26,WR,7,0,210,6-1,359.1,0
De'Von Achane,23,RB,17,16,188,5-9,325.4,907
Terron Armstead,33,T,15,15,305,6-5,325.4,0
Jake Bailey,27,P,17,0,212,6-2,325.4,0
Quinton Bell,28,LB,17,3,255,6-4,325.4,0
Braxton Berrios,29,WR,6,0,185,5-9,325.4,0
Ethan Bonner,25,CB,5,0,186,6-1,325.4,0
Tyus Bowser,29,OLB,7,4,250,6-3,325.4,0
Aaron Brewer,27,OL,17,17,295,6-1,325.4,0
Jordyn Brooks,27,LB,17,17,240,6-0,325.4,0
Cam Brown,26,LB,0,0,230,6-5,325.4,0
Calais Campbell,38,DT,17,17,307,6-8,325.4,0
Elijah Campbell,29,DB,17,1,200,5-11,325.4,0
Jackson Carman,24,T,8,1,322,6-5,325.4,0
Bradley Chubb,28,LB,0,0,268,6-4,325.4,0
Tanner Conner,26,TE,8,1,232,6-3,325.4,16
River Cracraft,30,WR,8,0,198,6-0,325.4,66
Braeden Daniels,24,OL,0,0,297,6-4,325.4,0
Matt Dickerson,29,DE,4,0,298,6-5,325.4,0
Tyrel Dodson,26,LB,8,3,237,6-0,325.4,0
Grant Dubose,23,WR,3,0,201,6-2,325.4,11
Storm Duck,24,CB,14,3,195,6-0,325.4,0
Liam Eichenberg,26,OL,17,14,302,6-6,325.4,0
D'Wayne Eskridge,27,WR,6,0,190,5-9,325.4,44
Erik Ezukanma,24,WR,2,0,206,6-2,325.4,0
Blake Ferguson,27,LS,5,0,230,6-3,325.4,0
Cameron Goode,26,LB,3,0,245,6-3,325.4,0
Da'Shawn Hand,29,DT,17,2,302,6-3,325.4,0
Julian Hill,24,TE,16,11,251,6-4,325.4,100
Tyreek Hill,30,WR,17,17,191,5-10,325.4,959
Jevon Holland,24,S,15,15,205,6-1,325.4,0
Tyler Huntley,26,QB,5,5,205,6-1,325.4,829
Alec Ingold,28,FB,15,10,232,6-1,325.4,0
Austin Jackson,25,OL,8,8,315,6-5,325.4,0
Benito Jones,27,DT,17,15,335,6-1,325.4,0
Robert Jones,25,OL,17,17,321,6-4,325.4,0
Mohamed Kamara,25,LB,5,0,253,6-1,325.4,0
Kader Kohou,26,CB,15,9,197,5-10,325.4,0
Kendall Lamm,32,T,15,7,308,6-5,325.4,0
Patrick McMorris,23,S,6,0,206,6-0,325.4,0
Jake McQuaide,37,LS,3,0,247,6-2,325.4,0
Andrew Meyer,24,OL,0,0,295,6-3,325.4,0
Grayson Murphy,24,LB,0,0,260,6-2,325.4,0
Siran Neal,30,CB,17,0,206,6-0,325.4,0
Emmanuel Ogbah,31,LB,16,16,275,6-4,325.4,0
Patrick Paul,23,OT,17,3,332,6-7,325.4,0
Jaelan Phillips,25,LB,4,3,263,6-5,325.4,0
Jordan Poyer,33,S,16,16,191,6-0,325.4,0
Jalen Ramsey,30,CB,17,17,208,6-1,325.4,0
Duke Riley,30,LB,17,2,227,6-1,325.4,0
Chop Robinson,21,LB,17,1,254,6-3,325.4,0
Jason Sanders,29,K,17,0,195,5-11,325.4,0
Anthony Schwartz,24,WR,0,0,195,6-0,325.4,0
Zach Sieler,29,DT,15,15,300,6-6,325.4,0
Cam Smith,24,CB,6,0,186,6-1,325.4,0
Jonnu Smith,29,TE,17,6,248,6-3,325.4,884
Kion Smith,26,T,0,0,300,6-5,325.4,0
Jack Stoll,26,TE,4,0,247,6-4,325.4,10
Tua Tagovailoa,26,QB,11,11,225,6-1,325.4,2867
Channing Tindall,24,LB,11,0,236,6-2,325.4,0
Jaylen Waddle,26,WR,15,15,185,5-10,325.4,744
Anthony Walker,29,LB,14,8,235,6-1,325.4,0
Malik Washington,23,WR,14,3,191,5-8,325.4,223
Tahj Washington,23,WR,0,0,174,5-10,325.4,0
Jeff Wilson,29,RB,9,0,205,6-0,325.4,57
Jaylen Wright,21,RB,15,1,210,5-10,325.4,249
Isaiah Wynn,29,OL,6,3,305,6-2,325.4,0
Tarik Black (FRES),26,WR,0,0,217,6-3,325.4,0
William Bradley-King (FRES),27,LB,0,0,265,6-4,325.4,0
Jordan Colbert (FRES),24,S,0,0,214,6-2,325.4,0
Neil Farrell (FRES),26,DT,7,0,325,6-4,325.4,0
Ryan Hayes (FRES),24,T,1,0,303,6-6,325.4,0
Chasen Hines (FRES),24,OL,0,0,335,6-3,325.4,0
Dequan Jackson (FRES),25,LB,0,0,255,6-1,325.4,0
Isaiah Johnson (FRES),24,CB,0,0,205,6-3,325.4,0
Jason Maitre (FRES),24,CB,0,0,188,5-10,325.4,0
Bayron Matos (FRES),24,OT,0,0,334,6-7,325.4,0
Derrick McLendon (FRES),24,LB,0,0,250,6-4,325.4,0
Hayden Rucci (FRES),23,TE,0,0,247,6-5,325.4,0
Davante Adams,32,WR,11,11,215,6-1,310.3,1063
Tony Adams,25,S,15,11,203,5-11,310.3,0
Braelon Allen,20,RB,17,2,235,6-1,310.3,334
Zaire Barnes,25,LB,0,0,227,6-1,310.3,0
Jarrick Bernard-Converse,24,CB,7,0,205,6-1,310.3,0
Michael Carter II,25,CB,13,1,184,5-10,310.3,0
Irvin Charles,27,WR,13,0,219,6-4,310.3,0
Jimmy Ciarlo,23,LB,0,0,225,6-2,310.3,0
Chuck Clark,29,S,12,12,209,6-0,310.3,0
Micheal Clemons,27,DL,17,17,263,6-5,310.3,0
Tyler Conklin,29,TE,16,15,248,6-3,310.3,449
Malachi Corley,22,WR,9,1,215,5-11,310.3,16
Ashtyn Davis,28,S,15,1,202,6-1,310.3,0
Isaiah Davis,22,RB,17,0,220,6-1,310.3,174
Jamin Davis,26,LB,0,0,234,6-3,310.3,0
Brandin Echols,27,CB,16,4,179,5-10,310.3,0
Samuel Eguavoen,31,LB,17,1,236,6-1,310.3,0
Olumuyiwa Fashanu,22,OL,15,7,312,6-6,310.3,0
Leki Fotu,26,DT,2,1,335,6-5,310.3,0
Sauce Gardner,24,CB,15,15,190,6-3,310.3,0
Xavier Gipson,23,WR,17,0,189,5-9,310.3,39
Breece Hall,23,RB,16,16,217,5-11,310.3,876
Jake Hanson,27,OL,12,2,303,6-4,310.3,0
Bruce Hector,30,DL,6,0,296,6-2,310.3,0
Thomas Hennessy,30,LS,17,0,246,6-2,310.3,0
Jermaine Johnson II,25,LB,2,2,254,6-5,310.3,0
Greg Joseph,30,K,1,0,206,6-0,310.3,0
Javon Kinlaw,27,DT,17,17,319,6-5,310.3,0
Allen Lazard,29,WR,12,10,227,6-5,310.3,530
Phidarian Mathis,26,DT,0,0,312,6-4,310.3,0
Marcelino McCrary-Ball,25,LB,12,0,214,6-0,310.3,0
Will McDonald,25,DE,17,15,236,6-4,310.3,0
Braiden McGregor,23,DE,7,0,267,6-6,310.3,0
Jalen Mills,30,S,9,8,200,6-0,310.3,0
Max Mitchell,25,OL,10,2,307,6-6,310.3,0
Jarius Monroe,24,S,5,0,205,6-2,310.3,0
Thomas Morstead,38,P,17,0,225,6-4,310.3,0
Morgan Moses,33,OL,14,14,318,6-6,310.3,0
C.J. Mosley,32,LB,4,3,231,6-2,310.3,0
Xavier Newman-Johnson,25,OL,9,0,297,6-2,310.3,0
Kene Nwangwu,26,RB,2,0,210,6-1,310.3,0
Isaiah Oliver,28,CB,17,7,202,6-0,310.3,0
Haason Reddick,30,LB,10,2,240,6-1,310.3,0
D.J. Reed,28,CB,14,14,188,5-9,310.3,0
Aaron Rodgers,41,QB,17,17,223,6-2,310.3,3897
Jeremy Ruckert,24,TE,17,9,250,6-5,310.3,105
Wes Schweitzer,31,OL,4,0,300,6-4,310.3,0
Kendall Sheffield,28,CB,6,0,212,5-10,310.3,0
Jamien Sherwood,24,LB,17,16,216,6-2,310.3,0
Jaylin Simpson,24,S,0,0,179,5-11,310.3,0
John Simpson,27,OL,17,17,330,6-4,310.3,0
Tyron Smith,34,OL,10,10,320,6-5,310.3,0
Qwan'tez Stiggers,22,CB,14,1,197,6-0,310.3,0
Chazz Surratt,27,LB,17,5,233,6-2,310.3,0
Leonard Taylor,25,DL,14,0,305,6-3,310.3,0
Malik Taylor,29,WR,0,0,220,6-1,310.3,93
Tyrod Taylor,35,QB,2,0,217,6-1,310.3,119
Solomon Thomas,29,DL,16,1,295,6-3,310.3,0
Joe Tippmann,23,C,17,17,313,6-6,310.3,0
Jordan Travis,24,QB,0,0,200,6-1,310.3,0
Alijah Vera-Tucker,25,G,15,15,308,6-5,310.3,0
Carter Warren,25,T,6,1,311,6-5,310.3,0
Eric Watts,24,DL,14,0,277,6-5,310.3,0
Quincy Williams,28,LB,17,17,230,5-11,310.3,0
Quinnen Williams,27,DL,16,16,303,6-3,310.3,0
Garrett Wilson,24,WR,17,17,183,6-0,310.3,1104
Kenny Yeboah,26,TE,9,1,250,6-4,310.3,47
Greg Zuerlein,37,K,8,0,195,6-0,310.3,0
Zack Bailey (FRES),29,OL,1,0,299,6-5,310.3,0
Andrew Beck (FRES),28,FB,0,0,255,6-3,310.3,0
Anders Carlson (FRES),26,K,5,0,219,6-5,310.3,0
Zach Evans (FRES),23,RB,0,0,211,5-11,310.3,0
Obinna Eze (FRES),26,OL,0,0,325,6-8,310.3,0
Neal Johnson (FRES),23,TE,0,0,250,6-4,310.3,0
Zonovan Knight (FRES),23,RB,0,0,209,5-11,310.3,0
Zack Kuntz (FRES),25,TE,1,0,251,6-8,310.3,0
Kohl Levao (FRES),26,OL,0,0,324,6-5,310.3,0
Adrian Martinez (FRES),24,QB,0,0,220,6-2,310.3,0
Jackson Sirmon (FRES),24,LB,0,0,240,6-2,310.3,0
Brandon Smith (FRES),26,WR,1,0,220,6-2,310.3,0
Tre Swilling (FRES),25,DB,1,0,196,6-0,310.3,0
Ontaria Wilson (FRES),,WR,0,0,175,6-0,310.3,0
Easop Winston (FRES),28,WR,0,0,190,6-0,310.3,0
David Andrews,32,C,4,4,300,6-2,291.9,0
Jake Andrews,25,C,0,0,308,6-3,291.9,0
Alex Austin,23,CB,9,3,191,6-1,291.9,0
Javon Baker,22,WR,11,1,202,6-1,291.9,0
Bryce Baringer,25,P,17,0,215,6-2,291.9,0
Christian Barmore,25,DT,4,0,315,6-5,291.9,0
Miles Battle,24,CB,1,0,196,6-3,291.9,0
Jaheim Bell,23,TE,15,0,241,6-2,291.9,20
Ja'Whaun Bentley,28,LB,2,2,250,6-2,291.9,0
Isaiah Bolden,25,CB,14,0,205,6-2,291.9,0
Kendrick Bourne,29,WR,12,9,205,6-1,291.9,305
Kayshon Boutte,22,WR,15,13,197,5-11,291.9,589
Jacoby Brissett,32,QB,8,5,235,6-4,291.9,826
Ben Brown,26,C,10,10,313,6-5,291.9,0
Joe Cardona,32,LS,16,0,245,6-2,291.9,0
Lester Cotton,28,G,3,0,330,6-4,291.9,0
Marcellas Dial,24,DB,17,1,190,6-0,291.9,0
Demario Douglas,24,WR,17,7,192,5-8,291.9,621
Kyle Dugger,28,S,13,13,216,6-1,291.9,0
Daniel Ekuale,30,DT,16,16,310,6-3,291.9,0
Christian Elliss,25,LB,16,5,231,6-2,291.9,0
Antonio Gibson,26,RB,17,3,228,6-0,291.9,247
Davon Godchaux,30,DT,17,17,330,6-3,291.9,0
Christian Gonzalez,22,CB,16,16,205,6-1,291.9,0
Jamycal Hasty,28,RB,15,0,205,5-8,291.9,69
Jaylinn Hawkins,27,S,17,7,208,6-1,291.9,0
Hunter Henry,30,TE,16,16,249,6-5,291.9,674
Austin Hooper,30,TE,17,8,254,6-4,291.9,476
JaQuae Jackson,24,WR,0,0,184,6-1,291.9,0
Curtis Jacobs,22,LB,9,2,241,6-1,291.9,0
Demontrey Jacobs,26,OT,15,13,315,6-6,291.9,0
Anfernee Jennings,27,LB,16,16,255,6-2,291.9,0
Terrell Jennings,23,RB,3,0,217,6-0,291.9,33
Eric Johnson,26,DT,11,0,299,6-4,291.9,0
Jonathan Jones,31,CB,17,14,185,5-9,291.9,0
Marcus Jones,26,CB,14,9,188,5-8,291.9,0
Truman Jones,24,DE,1,0,250,6-3,291.9,0
Titus Leo,25,LB,4,0,245,6-3,291.9,0
Vederian Lowe,25,T,14,13,315,6-5,291.9,0
Marte Mapu,25,S,10,9,230,6-3,291.9,0
Drake Maye,22,QB,13,12,225,6-4,291.9,2276
Joe Milton,24,QB,1,0,246,6-5,291.9,241
Michael Onwenu,27,OL,17,17,350,6-3,291.9,0
Jabrill Peppers,29,S,6,6,217,5-11,291.9,0
Dell Pettus,23,S,17,1,200,5-11,291.9,0
Jeremiah Pharms,28,DT,16,5,300,6-2,291.9,0
Ja'Lynn Polk,22,WR,15,7,203,6-1,291.9,87
Monty Rice,25,OLB,3,1,233,6-0,291.9,0
Layden Robinson,23,G,13,11,311,6-3,291.9,0
Tyrese Robinson,25,G,1,0,317,6-3,291.9,0
Jaquelin Roy,24,DT,6,1,305,6-3,291.9,0
Brenden Schooler,27,S,17,0,210,6-2,291.9,0
Joey Slye,28,K,17,0,213,5-11,291.9,0
Lecitus Smith,26,C,8,1,314,6-3,291.9,0
Sidy Sow,26,G,12,1,318,6-5,291.9,0
Rhamondre Stevenson,26,RB,15,14,227,6-0,291.9,801
Cole Strange,26,G,3,2,310,6-5,291.9,0
Jahlani Tavai,28,LB,17,16,255,6-2,291.9,0
Caedan Wallace,24,T,6,2,314,6-5,291.9,0
Jack Westover,25,TE,3,0,245,6-2,291.9,0
Keion White,25,DE,17,13,285,6-5,291.9,0
Deatrich Wise Jr.,30,DE,15,5,280,6-5,291.9,0
Oshane Ximines,28,OLB,2,0,254,6-4,291.9,0
Marcus Harris (FRES),24,DT,0,0,295,6-3,291.9,0
D.J. James (FRES),23,CB,0,0,170,6-0,291.9,0
John Jiles (FRES),24,WR,0,0,205,6-3,291.9,0
Caleb Jones (FRES),25,T,0,0,370,6-9,291.9,0
Andrew Parker (FRES),25,LB,0,0,226,5-11,291.9,0
Mark Perry (FRES),23,S,0,0,213,6-0,291.9,0
Giovanni Ricci (FRES),28,TE,0,0,240,6-3,291.9,102
John Parker Romo (FRES),27,K,0,0,188,5-11,291.9,0
Azeez Al-Shaair,27,LB,11,11,228,6-2,319.7,0
Will Anderson,23,DE,14,14,243,6-4,319.7,0
Denico Autry,34,DE,10,2,285,6-5,319.7,0
Derek Barnett,28,DE,16,1,259,6-3,319.7,0
Kris Boyd,28,CB,17,0,201,5-11,319.7,0
Nick Broeker,24,G,9,0,305,6-5,319.7,0
British Brooks,25,RB,5,0,225,5-11,319.7,0
Myles Bryant,26,CB,11,0,192,5-9,319.7,0
Calen Bullock,21,S,17,13,190,6-3,319.7,0
Nico Collins,25,WR,12,12,222,6-4,319.7,1006
Austin Deculus,25,OT,1,0,321,6-5,319.7,0
Tank Dell,25,WR,14,10,165,5-10,319.7,667
Stefon Diggs,31,WR,8,8,191,6-0,319.7,496
Mario Edwards,30,DT,13,12,280,6-3,319.7,0
Ka'imi Fairbairn,30,K,17,0,183,6-0,319.7,0
Folorunso Fatukasi,29,DT,11,11,318,6-4,319.7,0
Blake Fisher,21,T,15,5,312,6-6,319.7,0
Kendrick Green,26,OL,17,1,310,6-3,319.7,0
Kenyon Green,23,G,12,9,325,6-4,319.7,0
Jake Hansen,26,LB,16,2,230,6-1,319.7,0
Christian Harris,23,LB,3,3,232,6-2,319.7,0
LaDarius Henderson,23,G,0,0,309,6-4,319.7,0
Neville Hewitt,31,LB,17,4,234,6-2,319.7,0
Brandon Hill,24,S,0,0,195,5-11,319.7,0
Jamal Hill,23,LB,8,0,227,6-0,319.7,0
Kurt Hinish,25,DT,10,0,296,6-1,319.7,0
Ka'dar Hollman,30,CB,7,1,196,6-0,319.7,0
Dylan Horton,24,DE,13,0,275,6-4,319.7,0
Tytus Howard,28,T,16,16,322,6-5,319.7,0
Jerry Hughes,36,DE,7,0,254,6-2,319.7,0
Danielle Hunter,30,DE,17,17,263,6-5,319.7,0
Xavier Hutchinson,24,WR,16,3,210,6-3,319.7,117
Brevin Jordan,24,TE,2,1,245,6-3,319.7,7
Dalton Keene,25,TE,0,0,251,6-4,319.7,16
Case Keenum,36,QB,0,0,215,6-1,319.7,0
Kamari Lassiter,21,CB,14,14,180,6-0,319.7,0
Shaq Mason,31,G,15,15,310,6-1,319.7,0
John Metchie,24,WR,13,3,195,6-0,319.7,254
Davis Mills,26,QB,4,0,225,6-4,319.7,212
Joe Mixon,28,RB,14,14,220,6-1,319.7,1016
Eric Murray,30,S,17,14,199,5-11,319.7,0
Dare Ogunbowale,30,RB,17,1,205,5-10,319.7,112
Jeff Okudah,25,CB,6,0,205,6-1,319.7,0
Jarrett Patterson,25,OL,15,9,310,6-4,319.7,0
Del'Shawn Phillips,28,LB,17,0,230,6-2,319.7,0
Dameon Pierce,24,RB,11,0,215,5-10,319.7,293
Jalen Pitre,25,S,12,12,200,6-0,319.7,0
Teagan Quitoriano,24,TE,7,4,258,6-6,319.7,0
D'Angelo Ross,28,CB,10,2,190,5-9,319.7,0
Dalton Schultz,28,TE,17,13,242,6-5,319.7,532
Juice Scruggs,24,OL,13,13,310,6-3,319.7,0
Tim Settle,27,DT,17,11,313,6-3,319.7,0
Irv Smith Jr.,26,TE,5,1,240,6-2,319.7,0
M.J. Stewart,29,S,15,0,205,5-11,319.7,0
Derek Stingley Jr.,23,CB,17,17,195,6-1,319.7,0
Cade Stover,24,TE,15,9,251,6-4,319.7,133
C.J. Stroud,23,QB,17,17,218,6-3,319.7,3727
Jaylon Thomas,24,T,0,0,311,6-3,319.7,0
Zachary Thomas,26,OT,6,0,305,6-5,319.7,0
Henry To'oTo'o,23,LB,15,15,228,6-2,319.7,0
Tommy Togiai,25,DT,8,0,296,6-2,319.7,0
Tommy Townsend,28,P,17,0,191,6-1,319.7,0
Laremy Tunsil,30,T,17,17,313,6-5,319.7,0
Jimmie Ward,33,S,10,10,193,5-11,319.7,0
Jared Wayne,24,WR,3,0,210,6-3,319.7,0
Jon Weeks,38,LS,17,0,242,5-10,319.7,0
Devin White,26,LB,7,1,237,6-0,319.7,0
Robert Woods,32,WR,15,4,193,6-0,319.7,203
Tucker Addington (FRES),27,LS,0,0,230,6-2,319.7,0
Tremayne Anchrum (FRES),26,G,0,0,314,6-2,319.7,0
Anthony Averett (FRES),30,CB,0,0,178,5-11,319.7,0
Solomon Byrd (FRES),25,DE,1,0,255,6-3,319.7,0
Jerome Carvin (FRES),24,OG,0,0,308,6-3,319.7,0
